Entity	Annotation	Status	Provenance	link
http://zh-min-nan.dbpedia.org/resource/Aspirin				=hyperlink("http://zh-min-nan.dbpedia.org/resource/Aspirin")
http://zh-yue.dbpedia.org/resource/阿士匹靈				=hyperlink("http://zh-yue.dbpedia.org/resource/阿士匹靈")
http://zh.dbpedia.org/resource/阿司匹林				=hyperlink("http://zh.dbpedia.org/resource/阿司匹林")
http://az.dbpedia.org/resource/Asetilsalisilli_tur%C5%9Fu				=hyperlink("http://az.dbpedia.org/resource/Asetilsalisilli_tur%C5%9Fu")
http://be.dbpedia.org/resource/%D0%90%D1%86%D1%8D%D1%82%D1%8B%D0%BB%D1%81%D0%B0%D0%BB%D1%96%D1%86%D1%8B%D0%BB%D0%B0%D0%B2%D0%B0%D1%8F_%D0%BA%D1%96%D1%81%D0%BB%D0%B0%D1%82%D0%B0				=hyperlink("http://be.dbpedia.org/resource/%D0%90%D1%86%D1%8D%D1%82%D1%8B%D0%BB%D1%81%D0%B0%D0%BB%D1%96%D1%86%D1%8B%D0%BB%D0%B0%D0%B2%D0%B0%D1%8F_%D0%BA%D1%96%D1%81%D0%BB%D0%B0%D1%82%D0%B0")
http://bg.dbpedia.org/resource/%D0%90%D1%86%D0%B5%D1%82%D0%B8%D0%BB%D1%81%D0%B0%D0%BB%D0%B8%D1%86%D0%B8%D0%BB%D0%BE%D0%B2%D0%B0_%D0%BA%D0%B8%D1%81%D0%B5%D0%BB%D0%B8%D0%BD%D0%B0				=hyperlink("http://bg.dbpedia.org/resource/%D0%90%D1%86%D0%B5%D1%82%D0%B8%D0%BB%D1%81%D0%B0%D0%BB%D0%B8%D1%86%D0%B8%D0%BB%D0%BE%D0%B2%D0%B0_%D0%BA%D0%B8%D1%81%D0%B5%D0%BB%D0%B8%D0%BD%D0%B0")
http://bio2rdf.org/drugbank_drugs:DB00945				=hyperlink("http://bio2rdf.org/drugbank_drugs:DB00945")
http://bio2rdf.org/linkedct_intervention:15666				=hyperlink("http://bio2rdf.org/linkedct_intervention:15666")
http://bio2rdf.org/linkedct_intervention:15994				=hyperlink("http://bio2rdf.org/linkedct_intervention:15994")
http://bio2rdf.org/linkedct_intervention:23509				=hyperlink("http://bio2rdf.org/linkedct_intervention:23509")
