<http://bibsonomy.org/uri/bibtexkey/conf/dac/BriskVIP07/dblp>,<http://dblp.l3s.de/d2r/resource/publications/conf/dac/BriskVIP07>,<http://dblp.rkbexplorer.com/id/conf/dac/BriskVIP07>
<http://purl.uniprot.org/medline/87157751>,<http://purl.uniprot.org/pubmed/3030434>
<http://bibsonomy.org/uri/bibtexkey/journals/cii/GottipoluG03/dblp>,<http://dblp.l3s.de/d2r/resource/publications/journals/cii/GottipoluG03>,<http://dblp.rkbexplorer.com/id/journals/cii/GottipoluG03>
<http://d-nb.info/gnd/125096623>,<http://viaf.org/viaf/311418572>
<http://hub.culturegraph.org/about/BVB-BV007196831>,<http://lod.b3kat.de/title/BV003745385/vol/23>,<http://lod.b3kat.de/title/BV007196831>
<http://fa.dbpedia.org/resource/%D9%82%D9%86%D8%A7%D8%AA_%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%8C_%D9%82%D9%88%DA%86%D8%A7%D9%86>,<http://fa.dbpedia.org/resource/قنات_محمودی،_قوچان>,<http://www.wikidata.org/entity/Q5768368>
<http://d-nb.info/gnd/181179024>,<http://viaf.org/viaf/214623070>
<http://uk.dbpedia.org/resource/%D0%A4%D0%B0%D0%B9%D0%BB:%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%94%D0%BD%D0%BA%D0%BE_%D0%9C.jpg>,<http://uk.dbpedia.org/resource/Файл:Миколаєнко_М.jpg>
<http://ld.zdb-services.de/resource/23758168>,<http://lobid.org/resource/HT015212684>
<http://sh.dbpedia.org/resource/Kralj_%C4%86i_iz_dinastije_Sja>,<http://sh.dbpedia.org/resource/Kralj_Ći_iz_dinastije_Sja>
<http://ru.dbpedia.org/resource/%D0%A4%D0%B5%D0%B4%D0%BE%D1%80_%D0%9D%D0%B5%D1%81%D1%82%D0%B5%D1%80%D0%BE%D0%B2%D0%B8%D1%87_%D0%A1%D0%B5%D0%BC%D0%B8%D0%B3%D0%BB%D0%B0%D0%B7%D0%BE%D0%B2>,<http://ru.dbpedia.org/resource/Федор_Нестерович_Семиглазов>
<http://be-x-old.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D1%8D%D0%B3%D0%BE%D1%80%D1%8B%D1%8F:%D0%9A%D0%BB%D1%8F%D1%81%D1%8C%D1%86%D1%96%D1%86%D0%BA%D1%96_%D1%81%D0%B5%D0%BB%D1%8C%D1%81%D0%B0%D0%B2%D0%B5%D1%82>,<http://be-x-old.dbpedia.org/resource/Катэгорыя:Клясьціцкі_сельсавет>,<http://www.wikidata.org/entity/Q9962777>
"<http://es.dbpedia.org/resource/Pezquenines_%C2%A1No,_gracias!>","<http://es.dbpedia.org/resource/Pezquenines_¡No,_gracias!>"
<http://hub.culturegraph.org/about/BVB-BV006104541>,<http://lod.b3kat.de/title/BV006104541>
<http://fa.dbpedia.org/resource/%D9%82%D8%AF%D8%B1_%D9%85%D8%B7%D9%84%D9%82_(%D8%A7%D8%A8%D9%87%D8%A7%D9%85_%D8%B2%D8%AF%D8%A7%DB%8C%DB%8C)>,<http://fa.dbpedia.org/resource/قدر_مطلق_(ابهام_زدایی)>
<http://hub.culturegraph.org/about/BVB-BV003378718>,<http://lod.b3kat.de/title/BV003378718>
<http://fr.dbpedia.org/resource/Comt%C3%A9_de_Tianhe>,<http://fr.dbpedia.org/resource/Comté_de_Tianhe>
<http://d-nb.info/gnd/153741597>,<http://viaf.org/viaf/238928836>
<http://d-nb.info/gnd/123803144>,<http://viaf.org/viaf/13226134>
<http://dbpedia.org/resource/List_of_Digimon_films>,<http://wikidata.dbpedia.org/resource/Q6568987>,<http://wikidata.org/entity/Q6568987>,<http://www.wikidata.org/entity/Q6568987>
<http://sh.dbpedia.org/resource/%C5%A0ablon:Sumrak>,<http://sh.dbpedia.org/resource/Šablon:Sumrak>
<http://www.last.fm/user/txshellgirl>,<http://www.last.fm/user/txshellgirl/#avatarPanel>
<http://lod.hebis.de/resource/00760474>,http://d-nb.info/870940791^^<http://www.w3.org/2001/XMLSchema#string>
<http://d-nb.info/996545441>,<http://lobid.org/resource/HT017034185>
<http://datos.bne.es/resource/XX1542696>,<http://viaf.org/viaf/169100811>
<http://fr.dbpedia.org/resource/G%C3%A9d%C3%A9on_Fell>,<http://fr.dbpedia.org/resource/Gédéon_Fell>
<http://lod.hebis.de/resource/12864873>,http://d-nb.info/972613161^^<http://www.w3.org/2001/XMLSchema#string>
<http://bibsonomy.org/uri/bibtexkey/conf/iros/DahlTMCC11/dblp>,<http://dblp.l3s.de/d2r/resource/publications/conf/iros/DahlTMCC11>,<http://dblp.rkbexplorer.com/id/conf/iros/DahlTMCC11>
<http://d-nb.info/gnd/142055123>,<http://viaf.org/viaf/142658077>
<http://fa.dbpedia.org/resource/%DA%AF%D9%88%D8%B1%D8%B3%D8%AA%D8%A7%D9%86_%D9%88%D9%86%DA%A9%D9%88%DA%A9>,<http://fa.dbpedia.org/resource/گورستان_ونکوک>,<http://www.wikidata.org/entity/Q5923846>
<http://d-nb.info/gnd/18487825X>,<http://viaf.org/viaf/56897052>
<http://de.dbpedia.org/resource/India_International_2004>,<http://www.wikidata.org/entity/Q1661185>
"<http://ro.dbpedia.org/resource/Vit%C4%83ne%C8%99ti,_Olt>","<http://ro.dbpedia.org/resource/Vitănești,_Olt>",<http://www.wikidata.org/entity/Q12743592>
